sample_id,target_setting,seed,split,label,domain,text_source,text_length_chars,event_clean_mask,source_sparse_top2,event_semantic_rank,plm_deberta_rank,event_reliability_lr_bal_c0p03,peer_mermaid_moe,peer_mermaid_moe_seedlogitmean
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_105,target_pmd,20260425,val,1,coaid,title_only,228,1.0,0.6355748373101953,0.5919498674379369,0.4369727645215714,0.6261749819233551,0.7131838997348758,0.6943841889611955
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_120,target_pmd,20260425,val,1,coaid,title_only,48,1.0,0.8438177874186551,0.7278862376476259,0.960231381055676,0.8602072788623765,0.9963846710050616,0.9961436490720657
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_13,target_pmd,20260425,val,1,coaid,title_only,98,1.0,0.906001446131598,0.948180284405881,0.9881899252832008,0.953000723065799,0.999999,0.999758978067004
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_137,target_pmd,20260425,val,1,coaid,title_only,207,1.0,0.995179561340082,0.9197396963123644,0.9831284646902868,0.9163653892504218,0.9915642323451436,0.9833694866232828
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_139,target_pmd,20260425,val,1,coaid,title_only,83,1.0,0.898529766208725,0.7095685707399373,0.8645456736563027,0.7917570498915402,0.7066763075439865,0.7621113521330442
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_150,target_pmd,20260425,val,1,coaid,title_only,37,1.0,0.7809110629067245,0.7558447818751506,0.9838515304892744,0.8905760424198602,0.9968667148710532,0.9954205832730778
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_153,target_pmd,20260425,val,1,coaid,title_only,66,1.0,0.5960472402988672,0.5071101470233791,0.9985538684020244,0.7327066763075439,0.9942154736080984,0.9944564955410944
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_192,target_pmd,20260425,val,1,coaid,article_text,155,1.0,0.6066522053506869,0.8802120993010364,0.9824053988912992,0.8925042178838274,0.9992769342010124,0.9995179561340082
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_196,target_pmd,20260425,val,1,coaid,title_only,59,1.0,0.4658953964810798,0.7404193781634129,0.9534827669317908,0.7719932513858762,0.9573391178597253,0.9534827669317908
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_199,target_pmd,20260425,val,1,coaid,title_only,159,1.0,0.935647143890094,0.8722583755121716,0.9944564955410944,0.9190166305133768,0.9836105085562786,0.9696312364425164
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_2,target_pmd,20260425,val,1,coaid,title_only,114,1.0,0.9862617498192336,0.9436008676789588,0.9980718245360328,0.9824053988912992,0.9987948903350204,0.9992769342010124
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_218,target_pmd,20260425,val,1,coaid,article_text,551,1.0,0.1426849843335743,0.5353097131838997,0.997589780670041,0.7112557242709087,0.891058086285852,0.8970836346107496
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_225,target_pmd,20260425,val,1,coaid,title_only,133,1.0,0.9590262713906964,0.9640877319836104,0.5394070860448301,0.945770065075922,0.915642323451434,0.910821884791516
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_229,target_pmd,20260425,val,1,coaid,title_only,74,1.0,0.8684020245842372,0.7951313569534828,0.995179561340082,0.9194986743793684,0.9973487587370452,0.9956616052060736
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_251,target_pmd,20260425,val,1,coaid,title_only,94,1.0,0.9720414557724752,0.9742106531694384,0.9963846710050616,0.9845745962882624,0.994938539407086,0.9932513858761148
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_257,target_pmd,20260425,val,1,coaid,title_only,146,1.0,0.9028681610026512,0.925524222704266,0.9879489033502048,0.9510725476018318,0.9995179561340082,0.9978308026030368
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_29,target_pmd,20260425,val,1,coaid,title_only,103,1.0,0.2378886478669559,0.4039527597011328,0.9479392624728852,0.5080742347553627,0.7582550012051097,0.7507833212822367
